code,forward_linkage,gdp,manuf,country,gvc_depth,reshoring_risk,reshoring_risk_norm
CZE,230167.281,246,25,Czechia,0.9356393536585366,23.390983841463413,100.0
IRL,413781.299,425,22,Ireland,0.9736030564705882,21.41926724235294,89.4
SVK,100042.334,105,22,Slovakia,0.9527841333333333,20.961250933333332,87.0
HUN,140203.629,156,22,Hungary,0.8987412115384614,19.77230665384615,80.6
ROU,234302.808,249,21,Romania,0.9409751325301204,19.76047778313253,80.5
SVN,49269.25,53,21,Slovenia,0.9296084905660378,19.521778301886794,79.2
DEU,3636644.23,3846,19,Germany,0.9455653224128965,17.96574112584503,70.9
POL,546138.738,596,18,Poland,0.9163401644295303,16.494122959731545,63.0
FIN,247005.861,271,18,Finland,0.911460741697417,16.406293350553504,62.5
LTU,53219.894,57,17,Lithuania,0.933682350877193,15.87259996491228,59.6
EST,28826.937,31,17,Estonia,0.9299011935483872,15.808320290322582,59.3
AUT,402815.937,433,17,Austria,0.9302908475750576,15.81494440877598,59.3
ITA,1771585.26,1897,16,Italy,0.9338878545071165,14.942205672113865,54.6
BGR,64056.884,69,16,Bulgaria,0.9283606376811594,14.85377020289855,54.2
SWE,506060.55,541,15,Sweden,0.9354169131238447,14.03125369685767,49.7
DNK,321816.354,356,14,Denmark,0.9039785224719101,12.655699314606743,42.4
BEL,490991.444,524,13,Belgium,0.937006572519084,12.181085442748092,39.8
ESP,1199598.988,1281,13,Spain,0.9364551038251365,12.173916349726774,39.8
MLT,15479.246,14,11,Malta,1.1056604285714284,12.162264714285712,39.7
HRV,50434.814,57,13,Croatia,0.8848212982456141,11.502676877192982,36.2
NLD,841164.302,913,12,Netherlands,0.9213190602409639,11.055828722891567,33.8
PRT,207843.461,228,12,Portugal,0.9115941271929825,10.93912952631579,33.1
LVA,31417.205,34,11,Latvia,0.9240354411764706,10.164389852941177,29.0
FRA,2452685.6,2630,10,France,0.9325800760456274,9.325800760456275,24.5
GRC,169633.214,188,9,Greece,0.9023043297872341,8.120738968085107,18.0
LUX,70562.02,73,5,Luxembourg,0.9666030136986302,4.833015068493151,0.4
CYP,22879.363,24,5,Cyprus,0.9533067916666668,4.7665339583333335,0.0
